clip_filename_x,original_video,sentiment_score,sentiment_label,base_video,split,video_id,section,clip_filename_y
AmGocfFQfVE_1_clip0.mp4,AmGocfFQfVE_1.mp4,-0.33,Negative,AmGocfFQfVE,train,AmGocfFQfVE,1,AmGocfFQfVE_1_clip0.mp4
gR4gM_WXesQ_0_clip0.mp4,gR4gM_WXesQ_0.mp4,0.0,Neutral,gR4gM_WXesQ,test,gR4gM_WXesQ,0,gR4gM_WXesQ_0_clip0.mp4
gR4gM_WXesQ_0_clip0.mp4,gR4gM_WXesQ_0.mp4,0.0,Neutral,gR4gM_WXesQ,test,gR4gM_WXesQ,0,gR4gM_WXesQ_0_clip1.mp4
kZfcQ4a0kx4_8_clip0.mp4,kZfcQ4a0kx4_8.mp4,2.0,Positive,kZfcQ4a0kx4,test,kZfcQ4a0kx4,8,kZfcQ4a0kx4_8_clip0.mp4
kZfcQ4a0kx4_8_clip0.mp4,kZfcQ4a0kx4_8.mp4,2.0,Positive,kZfcQ4a0kx4,test,kZfcQ4a0kx4,8,kZfcQ4a0kx4_8_clip1.mp4
kZfcQ4a0kx4_8_clip0.mp4,kZfcQ4a0kx4_8.mp4,2.0,Positive,kZfcQ4a0kx4,test,kZfcQ4a0kx4,8,kZfcQ4a0kx4_8_clip2.mp4
kZfcQ4a0kx4_8_clip0.mp4,kZfcQ4a0kx4_8.mp4,2.0,Positive,kZfcQ4a0kx4,test,kZfcQ4a0kx4,8,kZfcQ4a0kx4_8_clip3.mp4
c_FJuhSte8Q_6_clip0.mp4,c_FJuhSte8Q_6.mp4,-1.0,Negative,c_FJuhSte8Q,val,c_FJuhSte8Q,6,c_FJuhSte8Q_6_clip0.mp4
c_FJuhSte8Q_6_clip0.mp4,c_FJuhSte8Q_6.mp4,-1.0,Negative,c_FJuhSte8Q,val,c_FJuhSte8Q,6,c_FJuhSte8Q_6_clip1.mp4
XzVapdEr_GY_2_clip0.mp4,XzVapdEr_GY_2.mp4,0.0,Neutral,XzVapdEr_GY,train,XzVapdEr_GY,2,XzVapdEr_GY_2_clip0.mp4
XzVapdEr_GY_2_clip0.mp4,XzVapdEr_GY_2.mp4,0.0,Neutral,XzVapdEr_GY,train,XzVapdEr_GY,2,XzVapdEr_GY_2_clip1.mp4
Bg-PA5KTjNs_4_clip0.mp4,Bg-PA5KTjNs_4.mp4,1.0,Positive,Bg-PA5KTjNs,train,Bg-PA5KTjNs,4,Bg-PA5KTjNs_4_clip0.mp4
xgAwddSkrOo_0_clip0.mp4,xgAwddSkrOo_0.mp4,0.0,Neutral,xgAwddSkrOo,train,xgAwddSkrOo,0,xgAwddSkrOo_0_clip0.mp4
xgAwddSkrOo_0_clip0.mp4,xgAwddSkrOo_0.mp4,0.0,Neutral,xgAwddSkrOo,train,xgAwddSkrOo,0,xgAwddSkrOo_0_clip1.mp4
xgAwddSkrOo_0_clip0.mp4,xgAwddSkrOo_0.mp4,0.0,Neutral,xgAwddSkrOo,train,xgAwddSkrOo,0,xgAwddSkrOo_0_clip2.mp4
xgAwddSkrOo_0_clip0.mp4,xgAwddSkrOo_0.mp4,0.0,Neutral,xgAwddSkrOo,train,xgAwddSkrOo,0,xgAwddSkrOo_0_clip3.mp4
hntnelpiyl8_4_clip0.mp4,hntnelpiyl8_4.mp4,1.0,Positive,hntnelpiyl8,train,hntnelpiyl8,4,hntnelpiyl8_4_clip0.mp4
hntnelpiyl8_4_clip0.mp4,hntnelpiyl8_4.mp4,1.0,Positive,hntnelpiyl8,train,hntnelpiyl8,4,hntnelpiyl8_4_clip1.mp4
hntnelpiyl8_4_clip0.mp4,hntnelpiyl8_4.mp4,1.0,Positive,hntnelpiyl8,train,hntnelpiyl8,4,hntnelpiyl8_4_clip2.mp4
zrFZAofNGi4_0_clip0.mp4,zrFZAofNGi4_0.mp4,-3.0,Negative,zrFZAofNGi4,train,zrFZAofNGi4,0,zrFZAofNGi4_0_clip0.mp4
zrFZAofNGi4_0_clip0.mp4,zrFZAofNGi4_0.mp4,-3.0,Negative,zrFZAofNGi4,train,zrFZAofNGi4,0,zrFZAofNGi4_0_clip1.mp4
zrFZAofNGi4_0_clip0.mp4,zrFZAofNGi4_0.mp4,-3.0,Negative,zrFZAofNGi4,train,zrFZAofNGi4,0,zrFZAofNGi4_0_clip2.mp4
hfVXx8hfKak_0_clip0.mp4,hfVXx8hfKak_0.mp4,2.0,Positive,hfVXx8hfKak,train,hfVXx8hfKak,0,hfVXx8hfKak_0_clip0.mp4
hfVXx8hfKak_0_clip0.mp4,hfVXx8hfKak_0.mp4,2.0,Positive,hfVXx8hfKak,train,hfVXx8hfKak,0,hfVXx8hfKak_0_clip1.mp4
hfVXx8hfKak_0_clip0.mp4,hfVXx8hfKak_0.mp4,2.0,Positive,hfVXx8hfKak,train,hfVXx8hfKak,0,hfVXx8hfKak_0_clip2.mp4
